symbol,name,master_exchange,sector,industry,price_proxy,share_volume,market_cap,one_yr_target,stage1_pass,stage1_reasons,stage2_verdict,eligible_for_stage3,hp_tier,stage2_hp_total,stage2_hp_left,stage2_damage,stage2_score,stage2_bad_count,stage2_weak_count,stage2_bad_text,stage2_weak_text,iv_spike_diagnosis_status,iv_spike_diagnosis_hp_loss,iv_spike_diagnosis_detail,meme_stock_status,meme_stock_hp_loss,meme_stock_detail,chart_pattern_status,chart_pattern_hp_loss,chart_pattern_detail,news_sentiment_status,news_sentiment_hp_loss,news_sentiment_detail,analyst_consensus_status,analyst_consensus_hp_loss,analyst_consensus_detail,liquidity_status,liquidity_hp_loss,liquidity_detail,institutional_ownership_status,institutional_ownership_hp_loss,institutional_ownership_detail
CSIQ,Canadian Solar Inc.,NASDAQ,Technology,Semiconductors,18.1,3248167.0,1280379749.0,15.15,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,Sell/negative consensus or target below price (-16.3%),"Borderline liquidity: spread $0.20, volume 2,319, OI 6,798",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-16.3%),WEAK,1,"Borderline liquidity: spread $0.20, volume 2,319, OI 6,798",SKIP,0,Institutional ownership unavailable
ENPH,"Enphase Energy, Inc.",NASDAQ,Technology,Semiconductors,62.34,10996353.0,8439040027.0,37.0,PASS,,PASS,TRUE,Standard,10,6,4,4.0,2,0,"Sell/negative consensus or target below price (-40.6%) | Execution impaired: spread $0.45, volume 9,163, OI 21,962",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-40.6%),BAD,2,"Execution impaired: spread $0.45, volume 9,163, OI 21,962",SKIP,0,Institutional ownership unavailable
FCEL,FUELCELL ENERGY INC,NASDAQ,Energy,Industrial Machinery/Components,26.38,12077530.0,1324976429.0,7.62,PASS,,PASS,TRUE,Standard,10,6,4,4.0,2,0,"Sell/negative consensus or target below price (-71.1%) | Execution impaired: spread $0.55, volume 7,473, OI 18,860",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-71.1%),BAD,2,"Execution impaired: spread $0.55, volume 7,473, OI 18,860",SKIP,0,Institutional ownership unavailable
FLNC,"Fluence Energy, Inc.",NASDAQ,Miscellaneous,Industrial Machinery/Components,20.19,10969377.0,3960183368.0,17.0,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,Sell/negative consensus or target below price (-15.8%),"Borderline liquidity: spread $0.25, volume 14,318, OI 39,451",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-15.8%),WEAK,1,"Borderline liquidity: spread $0.25, volume 14,318, OI 39,451",SKIP,0,Institutional ownership unavailable
FLY,Firefly Aerospace Inc.,NASDAQ,Industrials,Military/Government/Technical,42.86,8823162.0,7931643242.0,36.0,PASS,,PASS,TRUE,Standard,10,6,4,4.0,2,0,"Sell/negative consensus or target below price (-16.0%) | Execution impaired: spread $1.70, volume 5,397, OI 7,262",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-16.0%),BAD,2,"Execution impaired: spread $1.70, volume 5,397, OI 7,262",SKIP,0,Institutional ownership unavailable
FSLY,"Fastly, Inc.",NASDAQ,Technology,Computer Software: Prepackaged Software,16.4,5942212.0,2554080000.0,24.0,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,"Borderline liquidity: spread $0.20, volume 2,596, OI 16,908",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (46.3%),WEAK,1,"Borderline liquidity: spread $0.20, volume 2,596, OI 16,908",SKIP,0,Institutional ownership unavailable
GLXY,Galaxy Digital Inc.,NASDAQ,Finance,Investment Bankers/Brokers/Service,29.57,4068355.0,11190985955.0,42.5,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,"Borderline liquidity: spread $0.21, volume 6,025, OI 27,434",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (43.7%),WEAK,1,"Borderline liquidity: spread $0.21, volume 6,025, OI 27,434",SKIP,0,Institutional ownership unavailable
GTLB,Gitlab Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,25.62,3052961.0,4540830012.0,28.0,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,"Execution impaired: spread $0.70, volume 3,010, OI 2,300",Hold/modest upside profile (9.3%),PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (9.3%),BAD,2,"Execution impaired: spread $0.70, volume 3,010, OI 2,300",SKIP,0,Institutional ownership unavailable
HIMX,"Himax Technologies, Inc.",NASDAQ,Technology,Semiconductors,19.89,4287841.0,3669921231.0,23.7,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,"Execution impaired: spread $0.40, volume 5,200, OI 56,849",Hold/modest upside profile (19.2%),PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (19.2%),BAD,2,"Execution impaired: spread $0.40, volume 5,200, OI 56,849",SKIP,0,Institutional ownership unavailable
HLIT,HARMONIC INC.,NASDAQ,Technology,Radio And Television Broadcasting And Communications Equipment,12.7,12974029.0,1649145827.0,15.0,PASS,,PASS,TRUE,Strong,10,8,2,5.0,0,2,,"Hold/modest upside profile (18.1%) | Borderline liquidity: spread $0.20, volume 11,690, OI 5,132",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (18.1%),WEAK,1,"Borderline liquidity: spread $0.20, volume 11,690, OI 5,132",SKIP,0,Institutional ownership unavailable
IRDM,Iridium Communications Inc.,NASDAQ,Telecommunications,Telecommunications Equipment,45.7,2247350.0,5163743017.0,39.0,PASS,,PASS,TRUE,Standard,10,6,4,4.0,2,0,"Sell/negative consensus or target below price (-14.7%) | Execution impaired: spread $0.30, volume 3,195, OI 17,554",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-14.7%),BAD,2,"Execution impaired: spread $0.30, volume 3,195, OI 17,554",SKIP,0,Institutional ownership unavailable
IREN,IREN Ltd,NASDAQ,Technology,EDP Services,58.06,36374598.0,20309830043.0,80.0,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,"Borderline liquidity: spread $0.17, volume 145,278, OI 189,627",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (37.8%),WEAK,1,"Borderline liquidity: spread $0.17, volume 145,278, OI 189,627",SKIP,0,Institutional ownership unavailable
LPTH,LIGHTPATH TECHNOLOGIES INC,NASDAQ,Technology,Semiconductors,14.28,7850173.0,1064280449.0,15.95,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,"Execution impaired: spread $0.90, volume 10,845, OI 35,377",Hold/modest upside profile (11.7%),PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (11.7%),BAD,2,"Execution impaired: spread $0.90, volume 10,845, OI 35,377",SKIP,0,Institutional ownership unavailable
LUNR,"Intuitive Machines, Inc.",NASDAQ,Industrials,Industrial Machinery/Components,34.24,14814308.0,8303221509.0,42.0,PASS,,PASS,TRUE,Strong,10,8,2,5.0,1,0,"Execution impaired: spread $0.39, volume 15,162, OI 25,053",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (22.7%),BAD,2,"Execution impaired: spread $0.39, volume 15,162, OI 25,053",SKIP,0,Institutional ownership unavailable
LWLG,"Lightwave Logic, Inc.",NASDAQ,Industrials,Containers/Packaging,13.17,6633844.0,1979923271.0,,PASS,,PASS,TRUE,Strong,10,8,2,4.0,1,0,"Execution impaired: spread $0.30, volume 4,813, OI 47,239",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,SKIP,0,Analyst target/price unavailable,BAD,2,"Execution impaired: spread $0.30, volume 4,813, OI 47,239",SKIP,0,Institutional ownership unavailable
MARA,"MARA Holdings, Inc.",NASDAQ,Technology,EDP Services,13.55,40169136.0,5265345646.0,15.5,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,Hold/modest upside profile (14.4%),PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (14.4%),PASS,0,"Clean liquidity: spread $0.03, volume 88,983, OI 164,141",SKIP,0,Institutional ownership unavailable
NNE,Nano Nuclear Energy Inc.,NASDAQ,Utilities,Electric Utilities: Central,25.08,2138422.0,1392186449.0,45.5,PASS,,PASS,TRUE,Strong,10,8,2,5.0,1,0,"Execution impaired: spread $0.35, volume 2,815, OI 6,380",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (81.4%),BAD,2,"Execution impaired: spread $0.35, volume 2,815, OI 6,380",SKIP,0,Institutional ownership unavailable
NVTS,Navitas Semiconductor Corp,NASDAQ,Technology,Semiconductors,24.38,51184372.0,6836110106.0,12.5,PASS,,PASS,TRUE,Standard,10,6,4,4.0,2,0,"Sell/negative consensus or target below price (-48.7%) | Execution impaired: spread $0.31, volume 36,403, OI 34,655",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-48.7%),BAD,2,"Execution impaired: spread $0.31, volume 36,403, OI 34,655",SKIP,0,Institutional ownership unavailable
OUST,"Ouster, Inc.",NASDAQ,Industrials,Industrial Machinery/Components,35.09,5490752.0,2349964200.0,40.0,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,"Execution impaired: spread $0.50, volume 5,943, OI 5,386",Hold/modest upside profile (14.0%),PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (14.0%),BAD,2,"Execution impaired: spread $0.50, volume 5,943, OI 5,386",SKIP,0,Institutional ownership unavailable
PCT,"PureCycle Technologies, Inc.",NASDAQ,Industrials,Major Chemicals,11.33,3915233.0,2047375386.0,14.0,PASS,,PASS,TRUE,Diamond,10,10,0,6.0,0,0,,,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (23.6%),PASS,0,"Clean liquidity: spread $0.10, volume 7,452, OI 11,208",SKIP,0,Institutional ownership unavailable
PENG,"Penguin Solutions, Inc.",NASDAQ,Technology,Semiconductors,48.81,3178030.0,2700274901.0,33.0,PASS,,PASS,TRUE,Standard,10,6,4,4.0,2,0,"Sell/negative consensus or target below price (-32.4%) | Execution impaired: spread $1.30, volume 5,224, OI 26,473",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-32.4%),BAD,2,"Execution impaired: spread $1.30, volume 5,224, OI 26,473",SKIP,0,Institutional ownership unavailable
PGY,Pagaya Technologies Ltd.,NASDAQ,Finance,Finance: Consumer Services,13.08,3815149.0,1083298340.0,27.0,PASS,,PASS,TRUE,Strong,10,8,2,5.0,1,0,"Execution impaired: spread $0.20, volume 1,489, OI 9,924",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (106.4%),BAD,2,"Execution impaired: spread $0.20, volume 1,489, OI 9,924",SKIP,0,Institutional ownership unavailable
POET,POET TECHNOLOGIES INC.,NASDAQ,Technology,Semiconductors,14.82,33765995.0,2230717682.0,7.3,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,Sell/negative consensus or target below price (-50.7%),"Borderline liquidity: spread $0.13, volume 43,639, OI 87,928",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-50.7%),WEAK,1,"Borderline liquidity: spread $0.13, volume 43,639, OI 87,928",SKIP,0,Institutional ownership unavailable
PPTA,PERPETUA RESOURCES CORP.,NASDAQ,Basic Materials,Precious Metals,26.72,2736902.0,3167392816.0,39.8,PASS,,PASS,TRUE,Strong,10,8,2,5.0,1,0,"Execution impaired: spread $0.60, volume 3,275, OI 15,517",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (49.0%),BAD,2,"Execution impaired: spread $0.60, volume 3,275, OI 15,517",SKIP,0,Institutional ownership unavailable
QUBT,Quantum Computing Inc.,NASDAQ,Technology,Computer Software: Prepackaged Software,11.41,68053944.0,2776335690.0,18.0,PASS,,PASS,TRUE,Diamond,10,10,0,6.0,0,0,,,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (57.8%),PASS,0,"Clean liquidity: spread $0.06, volume 54,496, OI 30,238",SKIP,0,Institutional ownership unavailable
RGTI,"Rigetti Computing, Inc.",NASDAQ,Technology,EDP Services,22.04,204233244.0,8781976481.0,30.5,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,"Borderline liquidity: spread $0.15, volume 169,515, OI 65,878",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (38.4%),WEAK,1,"Borderline liquidity: spread $0.15, volume 169,515, OI 65,878",SKIP,0,Institutional ownership unavailable
RIOT,"Riot Platforms, Inc.",NASDAQ,Finance,Finance: Consumer Services,24.47,11155160.0,9252669929.0,25.0,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,Hold/modest upside profile (2.2%),PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (2.2%),PASS,0,"Clean liquidity: spread $0.05, volume 52,608, OI 45,867",SKIP,0,Institutional ownership unavailable
RLAY,"Relay Therapeutics, Inc.",NASDAQ,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),13.66,5355400.0,2592160812.0,21.5,PASS,,PASS,TRUE,Strong,10,8,2,5.0,1,0,"Execution impaired: spread $0.80, volume 2,057, OI 39,565",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (57.4%),BAD,2,"Execution impaired: spread $0.80, volume 2,057, OI 39,565",SKIP,0,Institutional ownership unavailable
RUN,Sunrun Inc.,NASDAQ,Miscellaneous,Industrial Machinery/Components,14.445,5841028.0,3487590576.0,20.0,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,"Borderline liquidity: spread $0.21, volume 2,948, OI 6,626",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (38.5%),WEAK,1,"Borderline liquidity: spread $0.21, volume 2,948, OI 6,626",SKIP,0,Institutional ownership unavailable
SEDG,"SOLAREDGE TECHNOLOGIES, INC.",NASDAQ,Technology,Semiconductors,63.0,4079940.0,3767687614.0,36.0,PASS,,PASS,TRUE,Standard,10,6,4,4.0,2,0,"Sell/negative consensus or target below price (-42.9%) | Execution impaired: spread $0.75, volume 3,946, OI 7,971",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,BAD,2,Sell/negative consensus or target below price (-42.9%),BAD,2,"Execution impaired: spread $0.75, volume 3,946, OI 7,971",SKIP,0,Institutional ownership unavailable
SMCI,"Super Micro Computer, Inc.",NASDAQ,Technology,Computer Manufacturing,33.46,39440985.0,21398469590.0,34.0,PASS,,PASS,TRUE,Strong,10,8,2,5.0,0,2,,"Hold/modest upside profile (1.6%) | Borderline liquidity: spread $0.11, volume 166,375, OI 87,456",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (1.6%),WEAK,1,"Borderline liquidity: spread $0.11, volume 166,375, OI 87,456",SKIP,0,Institutional ownership unavailable
USAR,"USA Rare Earth, Inc.",NASDAQ,Basic Materials,Metal Mining,24.29,18253936.0,5642794760.0,35.0,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,"Borderline liquidity: spread $0.11, volume 15,579, OI 23,261",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (44.1%),WEAK,1,"Borderline liquidity: spread $0.11, volume 15,579, OI 23,261",SKIP,0,Institutional ownership unavailable
VIAV,VIAVI SOLUTIONS INC.,NASDAQ,Technology,Semiconductors,48.98,4588740.0,11580778644.0,65.0,PASS,,PASS,TRUE,Strong,10,8,2,5.0,1,0,"Execution impaired: spread $0.60, volume 3,857, OI 61,361",,PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (32.7%),BAD,2,"Execution impaired: spread $0.60, volume 3,857, OI 61,361",SKIP,0,Institutional ownership unavailable
WULF,TERAWULF INC.,NASDAQ,Technology,EDP Services,22.92,20787625.0,11308054959.0,30.0,PASS,,PASS,TRUE,Diamond,10,9,1,5.5,0,1,,"Borderline liquidity: spread $0.12, volume 39,606, OI 53,625",PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,PASS,0,Constructive target upside (30.9%),WEAK,1,"Borderline liquidity: spread $0.12, volume 39,606, OI 53,625",SKIP,0,Institutional ownership unavailable
WYFI,"WhiteFiber, Inc.",NASDAQ,Finance,Finance: Consumer Services,29.55,1805681.0,1165763181.0,33.5,PASS,,PASS,TRUE,Strong,10,7,3,4.5,1,1,"Execution impaired: spread $0.50, volume 7,932, OI 15,056",Hold/modest upside profile (13.4%),PASS,0,No binary IV-spike cause detected,PASS,0,0-1 meme signals,PASS,0,Consolidating/steady chart; no extension or breakdown detected,PASS,0,Neutral or positive recent news flow,WEAK,1,Hold/modest upside profile (13.4%),BAD,2,"Execution impaired: spread $0.50, volume 7,932, OI 15,056",SKIP,0,Institutional ownership unavailable
