symbol,stage2_tier,stage2_score,stage2_hp_left,stage3_verdict,stage3_category,weighted_fair_value,stage2_one_yr_target,finviz_target_price,target_benchmark_price,fair_value_target_gap_pct,fair_value_target_alignment,software_patch_required,fair_value_target_gap_detail,mos_threshold,current_price,undervaluation_pct,bear_value,realistic_value,bull_value,qc_fail_reason,share_count_source,share_qc_detail,watch_signal,kill_signal,stage2_kills,stage2_flags,sector,iv_rank,implied_vol
ASST,Strong,5.5,7,NO ENTRY,B,1.364328562300095,26.0,29.0,26.0,-94.75,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $1.36 is -94.8% below closest benchmark Stage 2 target $26.00; Stage 2 target $26.00; Finviz target $29.00; software patch required before trusting fair value,0.6821642811500475,18.21,-92.50780580834655,1.3205511592216737,1.3704393811860034,1.4941246673452526,,market_cap_implied,,Next revenue step-down below 50% YoY or cash runway under 18 months,,Broke 200-day moving average,"Borderline liquidity: spread $0.22, volume 11,077, OI 7,426",Technology,,
BTDR,Strong,5.5,7,QC FAIL,,,20.0,21.52,,,NO_TARGET_CHECK,FALSE,target check skipped: missing Stage 3 FV or positive target benchmark,,14.65,,,,,SEC data unavailable or no live price,unavailable,,,,,"Mixed/partial catalyst signal in headlines | Borderline liquidity: spread $0.20, volume 8,984, OI 24,704 | Institutional ownership 30-50% (43.3%)",Finance,,
IREN,Strong,5.5,7,NO ENTRY,A,19.47938350670693,80.0,78.85,78.85,-75.3,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $19.48 is -75.3% below closest benchmark Finviz target $78.85; Stage 2 target $80.00; Finviz target $78.85; software patch required before trusting fair value,15.583506805365545,56.83,-65.72341455796774,8.93279386592409,17.95411743908301,33.07650528273762,,market_cap_implied,,Close below the 50-day SMA by 5% on elevated volume,,,"Upper portion of 52-week range | Borderline liquidity: spread $0.17, volume 145,278, OI 189,627 | Institutional ownership 30-50% (46.7%)",Technology,,
PATH,Strong,5.5,7,ENTRY,A,13.997484615802772,13.0,13.67,13.67,2.4,ALIGNED,FALSE,Stage 3 FV $14.00 is 2.4% above closest benchmark Finviz target $13.67; Stage 2 target $13.00; Finviz target $13.67,11.197987692642219,10.93,28.064818076878062,4.900791633615932,12.572894386992598,25.943358055609963,,market_cap_implied,,Close below the 50-day SMA by 5% on elevated volume,,Broke 200-day moving average,Mixed/partial catalyst signal in headlines,Technology,,
RGTI,Strong,5.5,7,NO ENTRY,B,0.13514493536210148,30.5,31.0,30.5,-99.56,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $0.14 is -99.6% below closest benchmark Stage 2 target $30.50; Stage 2 target $30.50; Finviz target $31.00; software patch required before trusting fair value,0.06757246768105074,26.42,-99.4884748850791,0.09241406535613148,0.14110967034137895,0.26183816296243295,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Single large gap event | Hold/modest upside profile (17.3%) | Borderline liquidity: spread $0.15, volume 169,515, OI 65,878",Technology,,
RIOT,Strong,5.5,7,NO ENTRY,B,-0.23732670650632426,25.0,26.41,26.41,-100.9,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $-0.24 is -100.9% below closest benchmark Finviz target $26.41; Stage 2 target $25.00; Finviz target $26.41; software patch required before trusting fair value,-0.11866335325316213,24.49,-100.96907597593436,-3.659804086699819,0.24041153150694033,9.910014211786727,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Upper portion of 52-week range | Minor/isolated negative news flow | Hold/modest upside profile (7.8%),Finance,,
RLAY,Strong,5.5,7,NO ENTRY,B,1.0442299158892794,21.5,24.0,21.5,-95.14,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $1.04 is -95.1% below closest benchmark Stage 2 target $21.50; Stage 2 target $21.50; Finviz target $24.00; software patch required before trusting fair value,0.5221149579446397,13.53,-92.28211444279911,0.8816504120088763,1.0669241332916757,1.5262636794281714,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,"Execution impaired: spread $0.80, volume 2,057, OI 39,565",Upper portion of 52-week range,Health Care,,
RUN,Strong,5.5,7,NO ENTRY,B,-4.615934446474782,20.0,19.03,20.0,-123.08,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $-4.62 is -123.1% below closest benchmark Stage 2 target $20.00; Stage 2 target $20.00; Finviz target $19.03; software patch required before trusting fair value,-2.307967223237391,14.62,-131.57273903197526,-29.76933152193424,-1.1048112851001937,69.96164986569741,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,Broke 200-day moving average,"Borderline liquidity: spread $0.21, volume 2,948, OI 6,626",Miscellaneous,,
SOC,Strong,5.5,7,QC FAIL,,,24.0,25.0,,,NO_TARGET_CHECK,FALSE,target check skipped: missing Stage 3 FV or positive target benchmark,,14.74,,,,,zero or missing revenue,sec,,,,"Execution impaired: spread $0.32, volume 1,236, OI 7,042",Broke 50-day moving average but not 200-day,Energy,,
UEC,Strong,5.5,7,NO ENTRY,B,0.9316540435871665,19.0,19.66,19.0,-95.1,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $0.93 is -95.1% below closest benchmark Stage 2 target $19.00; Stage 2 target $19.00; Finviz target $19.66; software patch required before trusting fair value,0.46582702179358326,13.02,-92.84443898934587,0.6579840623978395,0.9698552061038697,1.7430611881024487,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,Broke 200-day moving average,"Borderline liquidity: spread $0.18, volume 5,598, OI 12,047",Basic Materials,,
WULF,Strong,5.5,7,NO ENTRY,B,6.006538937115236,30.0,30.2,30.0,-79.98,SEVERE_MISALIGNMENT,TRUE,Stage 3 FV $6.01 is -80.0% below closest benchmark Stage 2 target $30.00; Stage 2 target $30.00; Finviz target $30.20; software patch required before trusting fair value,3.003269468557618,22.82,-73.67861990747049,5.212572116826304,6.117367517593504,8.360579916293133,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Upper portion of 52-week range | Minor/isolated negative news flow | Borderline liquidity: spread $0.12, volume 39,606, OI 53,625",Technology,,
