symbol,stage2_tier,stage2_score,stage2_hp_left,stage3_verdict,stage3_category,weighted_fair_value,mos_threshold,current_price,undervaluation_pct,bear_value,realistic_value,bull_value,qc_fail_reason,share_count_source,share_qc_detail,watch_signal,kill_signal,stage2_kills,stage2_flags,sector,iv_rank,implied_vol
ASST,Strong,5.5,7,NO ENTRY,B,1.364328562300095,0.6821642811500475,18.21,-92.50780580834655,1.3205511592216737,1.3704393811860034,1.4941246673452526,,market_cap_implied,,Next revenue step-down below 50% YoY or cash runway under 18 months,,Broke 200-day moving average,"Borderline liquidity: spread $0.22, volume 11,077, OI 7,426",Technology,,
BTDR,Strong,5.5,7,QC FAIL,,,,14.65,,,,,SEC data unavailable or no live price,unavailable,,,,,"Mixed/partial catalyst signal in headlines | Borderline liquidity: spread $0.20, volume 8,984, OI 24,704 | Institutional ownership 30-50% (43.3%)",Finance,,
IREN,Strong,5.5,7,NO ENTRY,A,19.47938350670693,15.583506805365545,56.83,-65.72341455796774,8.93279386592409,17.95411743908301,33.07650528273762,,market_cap_implied,,Close below the 50-day SMA by 5% on elevated volume,,,"Upper portion of 52-week range | Borderline liquidity: spread $0.17, volume 145,278, OI 189,627 | Institutional ownership 30-50% (46.7%)",Technology,,
PATH,Strong,5.5,7,QC FAIL,A,,,10.93,,,,,share denominator sanity failed: implied $7.29B vs known $5.69B (28.1%),market_cap_implied,implied $7.29B vs known $5.69B (28.1%),,,Broke 200-day moving average,Mixed/partial catalyst signal in headlines,Technology,,
RGTI,Strong,5.5,7,NO ENTRY,B,0.13514493536210148,0.06757246768105074,26.42,-99.4884748850791,0.09241406535613148,0.14110967034137895,0.26183816296243295,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Single large gap event | Hold/modest upside profile (17.3%) | Borderline liquidity: spread $0.15, volume 169,515, OI 65,878",Technology,,
RIOT,Strong,5.5,7,NO ENTRY,B,-0.23732670650632426,-0.11866335325316213,24.49,-100.96907597593436,-3.659804086699819,0.24041153150694033,9.910014211786727,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,Upper portion of 52-week range | Minor/isolated negative news flow | Hold/modest upside profile (7.8%),Finance,,
RLAY,Strong,5.5,7,NO ENTRY,B,1.0442299158892794,0.5221149579446397,13.53,-92.28211444279911,0.8816504120088763,1.0669241332916757,1.5262636794281714,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,"Execution impaired: spread $0.80, volume 2,057, OI 39,565",Upper portion of 52-week range,Health Care,,
RUN,Strong,5.5,7,QC FAIL,A,,,14.62,,,,,share denominator sanity failed: implied $14.72B vs known $3.49B (321.6%),sec,implied $14.72B vs known $3.49B (321.6%),,,Broke 200-day moving average,"Borderline liquidity: spread $0.21, volume 2,948, OI 6,626",Miscellaneous,,
SOC,Strong,5.5,7,QC FAIL,,,,14.74,,,,,zero or missing revenue,sec,,,,"Execution impaired: spread $0.32, volume 1,236, OI 7,042",Broke 50-day moving average but not 200-day,Energy,,
UEC,Strong,5.5,7,QC FAIL,,,,13.02,,,,,zero or missing revenue,sec,,,,Broke 200-day moving average,"Borderline liquidity: spread $0.18, volume 5,598, OI 12,047",Basic Materials,,
WULF,Strong,5.5,7,NO ENTRY,B,6.173062121380378,3.086531060690189,22.82,-72.94889517361798,6.109753006169661,6.181899341262672,6.360768015069096,,sec,,Next revenue step-down below 50% YoY or cash runway under 18 months,,,"Upper portion of 52-week range | Minor/isolated negative news flow | Borderline liquidity: spread $0.12, volume 39,606, OI 53,625",Technology,,
